Name	Depth	Velocity
Opihi	0.21	0.844755814
Opihi	0.22	0.987658006
Opihi	0.21	1.252816455
Opihi	0.27	1.644174419
Opihi	0.34	1.353476744
Opihi	0.35	1.632001904
Opihi	0.37	1.62398708
Opihi	0.38	1.620009279
Opihi	0.38	1.143429949
Opihi	0.4	1.143429949
Opihi	0.45	2.100869121
Opihi	0.43	2.043883721
Opihi	0.51	2.281202666
Opihi	0.4	1.816821358
Opihi	0.38	1.753186047
Opihi	0.42	1.879826618
Opihi	0.41	2.033759921
Opihi	0.39	1.520052268
Opihi	0.38	1.789523256
Opihi	0.4	1.386370527
Opihi	0.31	1.473202046
Opihi	0.32	1.109947717
Opihi	0.31	1.456284256
Opihi	0.37	1.722706845
Opihi	0.41	1.993105891
Opihi	0.41	1.956307633
Opihi	0.44	2.270592008
Opihi	0.46	1.864221354
Opihi	0.43	2.077005917
Opihi	0.5	1.966059172
Opihi	0.49	1.919509376
Opihi	0.48	1.993105891
Opihi	0.48	1.68204279
Opihi	0.47	1.7957582
Opihi	0.47	1.271896037
Opihi	0.45	1.528798468
Opihi	0.42	1.441132032
Opihi	0.36	1.091053746
Opihi	0.35	0.797834032
Opihi	0.27	0.876170553
Opihi	0.18	0.953328534
Opihi	0.27	0.824040209
Opihi	0.5	1.304187658
Opihi	0.61	1.825860465
Opihi	0.57	2.300213197
Opihi	0.51	2.167646097
Opihi	0.52	2.095691227
Opihi	0.49	1.69420391
Opihi	0.48	1.520052268
Opihi	0.33	1.154606599
Opihi	0.3	0.959880243
Opihi	0.19	0.735744186
Opihi	0.38	1.116419712
Opihi	0.59	1.64773689
Opihi	0.65	2.395324193
Opihi	0.64	2.28898176
Opihi	0.72	2.612262756
Opihi	0.69	2.043883721
Opihi	0.6	1.923350539
Opihi	0.51	1.088323049
Opihi	0.42	0.57899544
Opihi	0.29	0.438602475
Opihi	0.13	0.22486461
